"customerkey","geographykey","fullname","gender","birthdate","yearlyincome","datefirstpurchase","city","state","region","postalcode"
15515,648,"CarlosWright","M","1974-10-08","70000.00","2022-11-30","Yakima","Washington","United States","98901"
15516,307,"ShaunRaje","M","1980-10-14","70000.00","2022-07-03","Chula Vista","California","United States","91910"
15517,369,"ThomasEdwards","M","1980-01-19","80000.00","2021-07-01","Santa Monica","California","United States","90401"
15518,374,"RichardBryant","M","1975-03-12","80000.00","2021-07-16","Torrance","California","United States","90505"
15519,536,"JenniferEvans","F","1927-05-10","10000.00","2022-04-27","Beaverton","Oregon","United States","97005"
15520,312,"DesireeNavarro","F","1970-12-17","40000.00","2021-07-07","Coronado","California","United States","92118"
15521,298,"KathrynDeng","F","1976-05-21","80000.00","2021-08-03","Bellflower","California","United States","90706"
15522,547,"EthanRussell","M","1976-09-03","60000.00","2022-08-17","Portland","Oregon","United States","97205"
15523,627,"JonathanYang","M","1969-08-07","40000.00","2021-08-07","Marysville","Washington","United States","98270"
15524,542,"DaltonStone","M","1975-09-12","50000.00","2022-05-21","Lake Oswego","Oregon","United States","97034"
15525,301,"MarieGonzalez","F","1975-02-08","50000.00","2021-08-01","Burbank","California","United States","91502"
15526,70,"IsabelleFlores","F","1969-12-17","50000.00","2022-02-20","Westminster","British Columbia","Canada","V3L 1E7"
15527,329,"MeganRivera","F","1969-10-06","50000.00","2021-08-13","Imperial Beach","California","United States","91932"
15528,545,"LucasRamirez","M","1979-10-01","60000.00","2021-08-19","Milwaukie","Oregon","United States","97222"
15529,626,"JasonAllen","M","1969-01-01","60000.00","2021-08-05","Lynnwood","Washington","United States","98036"
15530,66,"MadisonJohnson","F","1968-09-30","60000.00","2022-12-16","Sooke","British Columbia","Canada","V0"
15531,610,"CalvinRaji","M","1968-12-11","60000.00","2021-08-05","Bothell","Washington","United States","98011"
15532,307,"MarshallJai","M","1968-08-03","60000.00","2021-08-27","Chula Vista","California","United States","91910"
15533,360,"AnnaRichardson","F","1979-09-06","70000.00","2022-08-19","San Francisco","California","United States","94109"
15534,547,"StevenBell","M","1969-03-21","70000.00","2021-08-05","Portland","Oregon","United States","97205"
15535,302,"JordanScott","M","1969-04-30","70000.00","2021-08-23","Burlingame","California","United States","94010"
15536,52,"VictoriaThomas","F","1974-08-09","60000.00","2022-07-25","Langley","British Columbia","Canada","V3A 4R2"
15537,325,"DestinyPeterson","F","1968-07-22","60000.00","2021-08-05","Glendale","California","United States","91203"
15538,326,"LuisLal","M","1969-02-24","60000.00","2021-08-25","Grossmont","California","United States","91941"
15539,299,"RaulGoel","M","1967-07-23","70000.00","2022-10-13","Berkeley","California","United States","94704"
15540,302,"RandallOrtega","M","1973-04-04","70000.00","2021-08-23","Burlingame","California","United States","94010"
15541,352,"ZoeMorris","F","1967-10-05","70000.00","2022-08-22","Palo Alto","California","United States","94303"
15542,301,"AndreaBaker","F","1973-04-18","70000.00","2021-08-20","Burbank","California","United States","91502"
15543,59,"EmmaFlores","F","1967-09-23","70000.00","2022-04-15","Oak Bay","British Columbia","Canada","V8P"
15544,325,"ThomasBrown","M","1968-06-12","70000.00","2022-04-28","Glendale","California","United States","91203"
15545,307,"JenniferRivera","F","1972-02-07","40000.00","2022-07-16","Chula Vista","California","United States","91910"
15546,552,"RobertJenkins","M","1966-11-18","40000.00","2022-12-18","W. Linn","Oregon","United States","97068"
15547,314,"CassidyWood","F","1967-04-05","60000.00","2021-08-17","Daly City","California","United States","94015"
15548,385,"MorganBrooks","F","1966-03-12","40000.00","2021-08-25","Woodland Hills","California","United States","91364"
15549,49,"RichardDavis","M","1972-12-03","50000.00","2022-01-11","Cliffside","British Columbia","Canada","V8Y 1L1"
15550,611,"OrlandoAlonso","M","1978-05-17","50000.00","2022-11-29","Bremerton","Washington","United States","98312"
15551,612,"KayleeGray","F","1973-01-02","50000.00","2021-08-22","Burien","Washington","United States","98168"
15552,631,"TylerLewis","M","1972-12-28","50000.00","2021-08-19","Olympia","Washington","United States","98501"
15553,301,"IvanLopez","M","1972-12-08","60000.00","2021-08-20","Burbank","California","United States","91502"
15554,311,"ZoeBailey","F","1973-03-01","60000.00","2021-09-03","Concord","California","United States","94519"
15555,352,"HaileyBarnes","F","1966-04-22","60000.00","2021-09-16","Palo Alto","California","United States","94303"
15556,65,"DylanDavis","M","1976-11-08","60000.00","2022-03-03","Shawnee","British Columbia","Canada","V9B 5T2"
15557,348,"NathanielMurphy","M","1966-02-11","60000.00","2021-09-05","Oakland","California","United States","94611"
15558,633,"HaileyMorris","F","1965-09-29","60000.00","2021-09-01","Puyallup","Washington","United States","98371"
15559,49,"DevinFlores","M","1970-05-22","60000.00","2022-02-12","Cliffside","British Columbia","Canada","V8Y 1L1"
15560,611,"GabrielleGray","F","1964-09-17","60000.00","2022-05-11","Bremerton","Washington","United States","98312"
15561,543,"AngelYoung","M","1970-01-24","60000.00","2021-09-01","Lebanon","Oregon","United States","97355"
15562,611,"KaitlynJames","F","1976-04-15","60000.00","2021-09-25","Bremerton","Washington","United States","98312"
15563,618,"LukeLopez","M","1970-07-10","60000.00","2022-10-05","Issaquah","Washington","United States","98027"
15564,66,"EduardoHughes","M","1970-02-21","60000.00","2022-05-28","Sooke","British Columbia","Canada","V0"
15565,616,"KyleMitchell","M","1964-08-06","70000.00","2021-08-29","Everett","Washington","United States","98201"
15566,57,"AaronFoster","M","1970-09-21","70000.00","2022-07-07","Newton","British Columbia","Canada","V2M1P1"
15567,49,"CarmenMadan","F","1964-12-21","80000.00","2022-07-22","Cliffside","British Columbia","Canada","V8Y 1L1"
15568,325,"AaronHayes","M","1963-07-11","80000.00","2021-09-25","Glendale","California","United States","91203"
15569,536,"MorganWard","F","1974-08-22","80000.00","2021-09-16","Beaverton","Oregon","United States","97005"
15570,372,"BriannaPowell","F","1975-02-05","60000.00","2021-09-22","Spring Valley","California","United States","91977"
15571,65,"AngelAllen","M","1975-03-06","60000.00","2022-01-28","Shawnee","British Columbia","Canada","V9B 5T2"
15572,54,"AnnaGarcia","F","1963-09-16","60000.00","2022-07-03","N. Vancouver","British Columbia","Canada","V7L 4J4"
15573,634,"ThomasWilson","M","1969-08-21","70000.00","2022-10-05","Redmond","Washington","United States","98052"
15574,383,"CarlosPeterson","M","1969-01-17","70000.00","2023-01-07","West Covina","California","United States","91791"
15575,23,"AlvinYe","M","1985-01-06","60000.00","2021-10-29","Gold Coast","Queensland","Australia","4217"
15576,9,"CarlyRaje","F","1976-03-18","80000.00","2021-11-23","Milsons Point","New South Wales","Australia","2061"
15577,10,"MayraMalhotra","F","1975-08-25","80000.00","2022-04-04","Newcastle","New South Wales","Australia","2300"
15578,35,"DianeGill","F","1981-08-16","80000.00","2021-11-10","Melbourne","Victoria","Australia","3000"
15579,31,"BrittanyColeman","F","1973-07-04","60000.00","2022-02-09","Hobart","Tasmania","Australia","7001"
15580,33,"RubenRaman","M","1979-02-20","60000.00","2021-10-28","Cranbourne","Victoria","Australia","3977"
15581,36,"ToniPerez","F","1973-10-25","60000.00","2022-08-09","Melton","Victoria","Australia","3337"
15584,13,"ChristyRaji","F","1972-10-14","70000.00","2022-03-26","Port Macquarie","New South Wales","Australia","2444"
15585,19,"RoyGarcia","M","1978-03-05","70000.00","2021-11-21","Wollongong","New South Wales","Australia","2500"
15586,21,"VictorBlanco","M","1975-02-24","110000.00","2021-11-26","Caloundra","Queensland","Australia","4551"
15587,33,"JessicaWard","F","1980-10-10","110000.00","2021-11-18","Cranbourne","Victoria","Australia","3977"
15588,4,"KristyAlvarez","F","1980-07-03","110000.00","2021-11-02","Goulburn","New South Wales","Australia","2580"
15589,24,"GilbertHe","M","1974-10-13","110000.00","2021-11-26","Hawthorne","Queensland","Australia","4171"
15590,35,"MarshallWu","M","1974-09-24","120000.00","2021-11-24","Melbourne","Victoria","Australia","3000"
15591,37,"DarrenSrini","M","1975-03-22","120000.00","2021-11-01","Seaford","Victoria","Australia","3198"
15592,8,"JanetMoreno","F","1983-10-01","70000.00","2022-02-02","Matraville","New South Wales","Australia","2036"
15593,31,"NaomiMartin","F","1973-03-18","70000.00","2022-03-04","Hobart","Tasmania","Australia","7001"
15594,4,"JoannaCarlson","F","1978-03-05","80000.00","2022-12-24","Goulburn","New South Wales","Australia","2580"
15595,7,"AndreSanchez","M","1971-08-05","90000.00","2021-10-28","Malabar","New South Wales","Australia","2036"
15596,17,"GilbertGoel","M","1971-07-02","90000.00","2021-11-24","St. Leonards","New South Wales","Australia","2065"
15597,38,"TerryRaji","M","1971-08-06","90000.00","2021-11-18","South Melbourne","Victoria","Australia","3205"
15598,16,"TanyaRubio","F","1971-04-20","60000.00","2022-09-19","Springwood","New South Wales","Australia","2777"
15599,26,"DarrylMa","M","1970-11-18","60000.00","2022-04-19","Rockhampton","Queensland","Australia","4700"
15600,32,"JosueDominguez","M","1974-05-02","70000.00","2021-10-30","Bendigo","Victoria","Australia","3550"
15601,20,"NaomiMoreno","F","1979-08-09","70000.00","2021-11-22","Brisbane","Queensland","Australia","4000"
15602,37,"WarrenWu","M","1979-01-14","70000.00","2022-06-22","Seaford","Victoria","Australia","3198"
15603,13,"PhilipBlanco","M","1975-09-02","60000.00","2022-03-31","Port Macquarie","New South Wales","Australia","2444"
15604,31,"CliffordPrasad","M","1970-06-13","60000.00","2022-06-20","Hobart","Tasmania","Australia","7001"
15605,3,"AlanYang","M","1970-02-21","60000.00","2022-09-27","Darlinghurst","New South Wales","Australia","2010"
15606,33,"MarcoPrasad","M","1970-06-10","60000.00","2022-02-27","Cranbourne","Victoria","Australia","3977"
15607,20,"RickyGill","M","1975-09-19","70000.00","2022-11-16","Brisbane","Queensland","Australia","4000"
15608,120,"FaithJames","F","1984-05-10","30000.00","2022-08-28","Hof","Bayern","Germany","95010"
15609,222,"KarlSharma","M","1985-08-11","20000.00","2022-08-15","Pantin","Seine Saint Denis","France","93500"
15610,273,"JessicaGonzales","F","1986-04-11","30000.00","2022-09-18","Watford","England","United Kingdom","WA3"
15611,215,"MichelePatel","F","1984-02-08","30000.00","2022-06-14","Colombes","Hauts de Seine","France","92700"
15612,259,"DamienMa","M","1983-10-05","30000.00","2022-05-08","Milton Keynes","England","United Kingdom","MK8 8DF"
15613,221,"MelindaMoreno","F","1984-03-14","30000.00","2022-05-23","Drancy","Seine Saint Denis","France","93700"
15614,262,"FaithSimmons","F","1980-05-13","40000.00","2020-10-13","Oxford","England","United Kingdom","OX1"
15615,259,"ErikaAlvarez","F","1984-08-12","30000.00","2022-03-26","Milton Keynes","England","United Kingdom","MK8 8DF"
15616,183,"JanetAlonso","F","1984-05-14","30000.00","2022-09-21","Orleans","Loiret","France","45000"
15617,197,"DawnChande","F","1984-08-02","30000.00","2022-02-01","Paris","Seine (Paris)","France","75008"
15618,162,"GabrielSharma","M","1978-08-26","40000.00","2022-04-01","Werne","Nordrhein-Westfalen","Germany","59368"
15619,236,"LeviSubram","M","1978-09-23","40000.00","2020-10-13","Cheltenham","England","United Kingdom","GL50"
15620,256,"DominiqueSubram","F","1978-11-16","50000.00","2020-10-05","London","England","United Kingdom","W1X3SE"
15621,268,"KelliWu","F","1979-03-26","50000.00","2020-10-07","Liverpool","England","United Kingdom","L4 4HB"
15622,144,"YvonneSchleger","M","1978-04-14","30000.00","2021-01-14","Essen","Hamburg","Germany","45001"
15623,195,"MollyMadan","F","1978-04-10","40000.00","2021-08-25","Paris","Seine (Paris)","France","75006"
15624,217,"TyroneRubio","M","1983-08-08","40000.00","2021-08-17","Paris La Defense","Hauts de Seine","France","92081"
15625,142,"ClintonAlvarez","M","1978-04-16","40000.00","2021-02-08","Bonn","Hamburg","Germany","53001"
15626,155,"EduardoWhite","M","1983-07-20","40000.00","2021-02-28","Bottrop","Nordrhein-Westfalen","Germany","46236"
15627,146,"TroySrini","M","1978-06-23","40000.00","2021-02-17","Frankfurt am Main","Hamburg","Germany","60355"
15628,161,"BriannaSandberg","F","1922-04-10","40000.00","2022-10-17","Solingen","Nordrhein-Westfalen","Germany","42651"
15629,162,"MeghanRuiz","F","1977-03-31","10000.00","2022-12-31","Werne","Nordrhein-Westfalen","Germany","59368"
15630,260,"NicholeTang","F","1976-10-30","20000.00","2020-10-24","Milton Keynes","England","United Kingdom","MK8 8ZD"
15631,263,"ClaytonAndersen","M","1977-05-11","20000.00","2020-10-24","Oxford","England","United Kingdom","OX14 4SE"
15632,245,"GloriaCarlson","F","1976-07-08","20000.00","2020-11-09","London","England","United Kingdom","E17 6JF"
15633,128,"AshleeShan","F","1977-02-08","20000.00","2022-05-21","Dresden","Hessen","Germany","01071"
15634,271,"DaltonKelly","M","1982-05-23","30000.00","2022-06-18","Warrington","England","United Kingdom","WA1"
15635,261,"SheilaMartin","F","1977-02-20","30000.00","2022-05-13","Newcastle upon Tyne","England","United Kingdom","NT20"
15636,127,"DavidWhite","M","1975-11-22","40000.00","2022-06-11","Darmstadt","Hessen","Germany","64283"
15637,179,"RussellSharma","M","1977-01-19","40000.00","2021-08-04","Saint Ouen","Charente-Maritime","France","17490"
15638,259,"RosaHe","F","1947-01-23","30000.00","2020-11-19","Milton Keynes","England","United Kingdom","MK8 8DF"
15639,21,"MelanieColeman","F","1985-08-30","10000.00","2022-04-06","Caloundra","Queensland","Australia","4551"
15640,21,"GaryGomez","M","1985-10-14","10000.00","2022-01-28","Caloundra","Queensland","Australia","4551"
15641,33,"MarcoSara","M","1983-11-01","10000.00","2022-04-22","Cranbourne","Victoria","Australia","3977"
15642,35,"CaraGao","F","1983-02-21","10000.00","2021-10-31","Melbourne","Victoria","Australia","3000"
15643,14,"OmarRaji","M","1983-03-20","10000.00","2021-10-30","Rhodes","New South Wales","Australia","2138"
15644,4,"SavannahGonzalez","F","1985-02-16","10000.00","2021-11-11","Goulburn","New South Wales","Australia","2580"
15645,10,"JavierGill","M","1984-09-08","20000.00","2021-11-02","Newcastle","New South Wales","Australia","2300"
15646,31,"EmmaKelly","F","1984-05-02","10000.00","2021-11-15","Hobart","Tasmania","Australia","7001"
15647,23,"DawnHe","F","1984-05-19","20000.00","2021-11-06","Gold Coast","Queensland","Australia","4217"
15648,34,"EdgarGonzalez","M","1984-03-03","20000.00","2021-10-28","Geelong","Victoria","Australia","3220"
15649,160,"MelindaJimenez","F","1954-04-07","30000.00","2021-02-10","Paderborn","Nordrhein-Westfalen","Germany","33098"
15650,208,"RonnieLi","M","1972-01-31","20000.00","2022-12-14","Saint Germain en Laye","Yveline","France","78100"
15651,212,"AnnLopez","F","1972-07-09","20000.00","2021-08-13","Morangis","Essonne","France","91420"
15652,229,"BarbaraWang","F","1966-11-22","30000.00","2020-11-17","Berks","England","United Kingdom","SL4 1RH"
15653,254,"GeraldMadan","M","1977-12-01","30000.00","2020-11-09","London","England","United Kingdom","W1N 9FA"
15654,200,"LeviFernandez","M","1965-09-09","10000.00","2022-06-10","Paris","Seine (Paris)","France","75012"
15655,144,"DeannaGomez","F","1971-10-30","20000.00","2021-02-22","Essen","Hamburg","Germany","45001"
15656,178,"DarrylZhao","M","1965-12-13","20000.00","2021-02-10","Sulzbach Taunus","Saarland","Germany","66272"
15657,271,"MarcusHayes","M","1965-12-18","30000.00","2020-11-05","Warrington","England","United Kingdom","WA1"
15658,184,"VictoriaRogers","F","1965-02-12","10000.00","2022-09-01","Metz","Moselle","France","57000"
15659,127,"AngelaRivera","F","1964-08-13","20000.00","2021-02-16","Darmstadt","Hessen","Germany","64283"
15660,250,"AprilJai","F","1965-03-01","20000.00","2020-12-17","London","England","United Kingdom","SW6 SBY"
15661,269,"BrandonRobinson","M","1965-02-16","30000.00","2020-12-06","Stoke-on-Trent","England","United Kingdom","AS23"
15662,279,"MeganRichardson","F","1965-11-21","30000.00","2020-12-06","York","England","United Kingdom","YO15"
15663,196,"MandyChen","F","1965-01-05","30000.00","2021-08-18","Paris","Seine (Paris)","France","75007"
15664,172,"JillVazquez","F","1970-04-22","30000.00","2021-02-01","Offenbach","Saarland","Germany","63009"
15665,198,"KristiSai","F","1965-01-02","30000.00","2021-08-13","Paris","Seine (Paris)","France","75009"
15666,205,"BiancaLiang","F","1981-10-18","10000.00","2021-08-20","Lieusaint","Seine et Marne","France","77127"
15667,151,"HectorRamos","M","1976-03-16","30000.00","2021-01-29","Paderborn","Hamburg","Germany","33041"
15668,273,"ErickFernandez","M","1981-02-23","40000.00","2020-12-24","Watford","England","United Kingdom","WA3"
15669,279,"PaulSuurs","F","1981-04-20","40000.00","2020-12-08","York","England","United Kingdom","YO15"
15670,183,"SergioSánchez","M","1975-01-31","20000.00","2022-12-17","Orleans","Loiret","France","45000"
15671,268,"LawrenceTorres","M","1974-11-24","20000.00","2022-02-28","Liverpool","England","United Kingdom","L4 4HB"
15672,160,"KelvinNara","M","1974-07-19","20000.00","2022-12-24","Paderborn","Nordrhein-Westfalen","Germany","33098"
15673,209,"JonGoel","M","1980-06-04","20000.00","2022-04-10","Versailles","Yveline","France","78000"
15674,117,"TommyRaheem","M","1975-01-05","30000.00","2021-03-13","Erlangen","Bayern","Germany","91054"
15675,120,"JayAlonso","M","1975-04-15","40000.00","2021-03-09","Hof","Bayern","Germany","95010"
15676,224,"ToddWang","M","1974-10-05","40000.00","2021-08-24","Tremblay-en-France","Seine Saint Denis","France","93290"
15677,220,"AlyssaBradley","F","1975-02-08","40000.00","2021-09-27","Bobigny","Seine Saint Denis","France","93000"
15678,212,"SusanZhou","F","1980-06-04","40000.00","2021-09-08","Morangis","Essonne","France","91420"
15679,189,"RobertPatterson","M","1958-03-10","10000.00","2022-05-11","Roubaix","Nord","France","59100"
15680,171,"TashaShe","F","1956-09-05","10000.00","2022-07-05","Neunkirchen","Saarland","Germany","66578"
15681,262,"EmmaGonzales","F","1960-02-07","80000.00","2022-02-01","Oxford","England","United Kingdom","OX1"
15682,142,"HeidiGarcia","F","1949-11-18","80000.00","2023-01-11","Bonn","Hamburg","Germany","53001"
15683,156,"JessieCarlson","F","1949-12-20","90000.00","2022-03-13","Braunschweig","Nordrhein-Westfalen","Germany","38001"
15684,168,"TyroneSuarez","M","1955-07-07","90000.00","2021-03-09","Kiel","Saarland","Germany","24044"
15685,172,"RobinVazquez","F","1949-12-07","110000.00","2021-03-25","Offenbach","Saarland","Germany","63009"
15686,244,"PedroVazquez","M","1949-12-31","130000.00","2022-02-26","London","England","United Kingdom","C2H 7AU"
15687,211,"JaySuri","M","1950-12-16","70000.00","2021-09-14","Les Ulis","Essonne","France","91940"
15688,196,"ChaseGray","M","1950-11-04","70000.00","2021-09-08","Paris","Seine (Paris)","France","75007"
15689,158,"StaceyWang","F","1950-07-06","90000.00","2022-05-04","Leipzig","Nordrhein-Westfalen","Germany","04139"
15690,267,"CliffordPerez","M","1951-12-10","160000.00","2022-10-21","Runcorn","England","United Kingdom","TY31"
15691,273,"JulianHenderson","M","1959-12-15","90000.00","2020-12-27","Watford","England","United Kingdom","WA3"
15692,262,"RyanGarcia","M","1959-10-12","90000.00","2020-11-30","Oxford","England","United Kingdom","OX1"
15693,127,"IsabelBarnes","F","1960-01-16","90000.00","2021-03-28","Darmstadt","Hessen","Germany","64283"
15694,236,"StephanieDiaz","F","1959-01-18","80000.00","2022-09-15","Cheltenham","England","United Kingdom","GL50"
15695,261,"BruceGomez","M","1959-12-16","150000.00","2020-11-29","Newcastle upon Tyne","England","United Kingdom","NT20"
15696,222,"DamienSun","M","1958-12-03","100000.00","2022-06-27","Pantin","Seine Saint Denis","France","93500"
15697,121,"JuliaMorris","F","1959-01-03","110000.00","2021-03-16","Ingolstadt","Bayern","Germany","85049"
15698,162,"SusanWang","F","1958-08-31","120000.00","2022-11-11","Werne","Nordrhein-Westfalen","Germany","59368"
15699,276,"JonathonHernandez","M","1959-03-11","170000.00","2021-01-05","Woolston","England","United Kingdom","WA1 4SY"
15700,193,"EugeneGuo","M","1958-05-19","80000.00","2021-09-27","Paris","Seine (Paris)","France","75003"
15701,236,"JillianKapoor","F","1958-03-27","130000.00","2022-03-29","Cheltenham","England","United Kingdom","GL50"
15702,240,"RuthMehta","F","1958-02-15","130000.00","2021-01-09","High Wycombe","England","United Kingdom","HP10 9QY"
15703,142,"AlisonChande","F","1962-05-02","80000.00","2022-01-28","Bonn","Hamburg","Germany","53001"
15704,134,"PeterLuo","M","1956-09-10","90000.00","2022-08-19","München","Hessen","Germany","80074"
15705,117,"GabrielSimmons","M","1955-09-19","100000.00","2022-05-20","Erlangen","Bayern","Germany","91054"
15706,210,"TinaArthur","F","1955-05-25","90000.00","2022-03-12","Saint Ouen","Somme","France","80610"
15707,121,"RobinRubio","F","1960-09-11","120000.00","2022-09-12","Ingolstadt","Bayern","Germany","85049"
15708,150,"NinaJai","F","1960-07-17","120000.00","2022-02-23","München","Hamburg","Germany","80074"
15709,215,"ChelseaPrasad","F","1959-08-31","70000.00","2022-03-24","Colombes","Hauts de Seine","France","92700"
15710,190,"BrandyRana","F","1953-07-22","90000.00","2021-09-02","Villeneuve-d'Ascq","Nord","France","59491"
15711,235,"JefferyLiang","M","1953-12-30","110000.00","2022-05-21","Cambridge","England","United Kingdom","CB4 4BZ"
15712,249,"WhitneyChandra","F","1954-06-04","130000.00","2022-07-11","London","England","United Kingdom","SW1P 2NU"
15713,267,"HannahLee","F","1953-12-07","130000.00","2022-11-08","Runcorn","England","United Kingdom","TY31"
15714,214,"BethanyPal","F","1953-03-16","80000.00","2022-10-09","Boulogne-Billancourt","Hauts de Seine","France","92100"
15715,27,"IsabellaAdams","F","1980-12-17","60000.00","2022-07-29","Townsville","Queensland","Australia","4810"
15716,24,"RoyMadan","M","1980-12-17","70000.00","2021-11-19","Hawthorne","Queensland","Australia","4171"
15717,18,"AlexiaHenderson","F","1981-11-23","70000.00","2021-11-11","Sydney","New South Wales","Australia","1002"
15718,3,"HeatherLin","F","1981-10-13","70000.00","2022-09-16","Darlinghurst","New South Wales","Australia","2010"
15719,15,"LaceyLiang","F","1982-01-10","80000.00","2021-11-23","Silverwater","New South Wales","Australia","2264"
15720,7,"JaimeRamos","F","1980-01-23","70000.00","2022-02-10","Malabar","New South Wales","Australia","2036"
15721,40,"CaraGuo","F","1985-08-11","80000.00","2022-06-17","Warrnambool","Victoria","Australia","3280"
15722,32,"AngelaJenkins","F","1980-05-25","80000.00","2021-11-18","Bendigo","Victoria","Australia","3550"
15723,11,"KateDeng","F","1985-03-14","90000.00","2021-11-08","North Ryde","New South Wales","Australia","2113"
15724,21,"RogerShe","M","1979-10-30","90000.00","2021-11-04","Caloundra","Queensland","Australia","4551"
15725,19,"TrevorPrice","M","1979-01-15","90000.00","2021-11-21","Wollongong","New South Wales","Australia","2500"
15726,25,"FaithBarnes","F","1978-08-27","90000.00","2021-11-07","Hervey Bay","Queensland","Australia","4655"
15727,8,"AlishaZeng","F","1977-10-31","80000.00","2022-05-09","Matraville","New South Wales","Australia","2036"
15728,33,"KeithSharma","M","1979-01-31","110000.00","2022-03-08","Cranbourne","Victoria","Australia","3977"
15729,32,"MayraSuri","F","1983-09-21","90000.00","2021-12-27","Bendigo","Victoria","Australia","3550"
15730,2,"PhilipDominguez","M","1977-08-18","90000.00","2022-08-19","Coffs Harbour","New South Wales","Australia","2450"
15731,19,"CoreyChavez","M","1976-09-16","80000.00","2022-03-26","Wollongong","New South Wales","Australia","2500"
15732,17,"SandraZhu","F","1983-05-25","120000.00","2021-12-12","St. Leonards","New South Wales","Australia","2065"
15733,26,"LeslieRamos","F","1977-09-22","120000.00","2021-12-08","Rockhampton","Queensland","Australia","4700"
15734,19,"AliciaLal","F","1976-01-08","100000.00","2021-12-25","Wollongong","New South Wales","Australia","2500"
15735,3,"LoriBlanco","F","1975-10-30","100000.00","2022-06-21","Darlinghurst","New South Wales","Australia","2010"
15736,300,"SheenaRaje","F","1946-12-11","110000.00","2022-11-07","Beverly Hills","California","United States","90210"
15737,626,"AlexanderRobinson","M","1946-10-02","120000.00","2021-09-02","Lynnwood","Washington","United States","98036"
15738,374,"AbigailMiller","F","1947-01-20","120000.00","2022-12-16","Torrance","California","United States","90505"
15739,369,"GarrettRogers","M","1948-06-14","70000.00","2021-08-28","Santa Monica","California","United States","90401"
15740,536,"JohnnyKumar","M","1947-10-09","80000.00","2022-09-18","Beaverton","Oregon","United States","97005"
15741,385,"IsabellaAllen","F","1948-04-09","80000.00","2022-10-20","Woodland Hills","California","United States","91364"
15742,352,"GraceThompson","F","1948-05-06","90000.00","2022-02-16","Palo Alto","California","United States","94303"
15743,623,"ChloeThompson","F","1953-02-14","120000.00","2022-11-24","Kirkland","Washington","United States","98033"
15744,614,"AngelaGray","F","1947-09-19","120000.00","2022-08-16","Edmonds","Washington","United States","98020"
15745,609,"JulianHayes","M","1948-02-12","120000.00","2022-08-30","Bellingham","Washington","United States","98225"
15746,626,"EmilyWalker","F","1949-05-31","120000.00","2022-12-03","Lynnwood","Washington","United States","98036"
15747,307,"EvanNelson","M","1949-08-24","70000.00","2022-09-05","Chula Vista","California","United States","91910"
15748,54,"AustinJenkins","M","1949-12-07","70000.00","2022-05-29","N. Vancouver","British Columbia","Canada","V7L 4J4"
15749,611,"GraceBrown","F","1950-04-24","70000.00","2023-01-17","Bremerton","Washington","United States","98312"
15750,298,"KaitlinMartinez","F","1984-10-16","70000.00","2021-09-08","Bellflower","California","United States","90706"
15751,32,"KristenXu","F","1966-02-21","80000.00","2021-12-21","Bendigo","Victoria","Australia","3550"
15752,10,"BobbyRodriguez","M","1961-03-31","80000.00","2021-12-08","Newcastle","New South Wales","Australia","2300"
15753,27,"MargaretLi","F","1962-06-21","70000.00","2021-12-09","Townsville","Queensland","Australia","4810"
15754,11,"CrystalXu","F","1961-12-21","70000.00","2021-12-04","North Ryde","New South Wales","Australia","2113"
15755,39,"ConnorFlores","M","1967-01-22","70000.00","2021-12-24","Sunbury","Victoria","Australia","3429"
15756,28,"KariGutierrez","F","1974-01-01","70000.00","2021-12-25","Cloverdale","South Australia","Australia","6105"
15757,28,"EdwinFerrier","M","1963-01-07","70000.00","2021-12-24","Cloverdale","South Australia","Australia","6105"
15758,38,"ArturoAndersen","M","1969-05-22","130000.00","2023-01-05","South Melbourne","Victoria","Australia","3205"
15759,536,"ErinBrooks","F","1979-05-07","80000.00","2022-03-21","Beaverton","Oregon","United States","97005"
15760,54,"RichardJames","M","1979-11-01","30000.00","2022-03-23","N. Vancouver","British Columbia","Canada","V7L 4J4"
15761,57,"XavierThompson","M","1980-04-16","30000.00","2022-10-03","Newton","British Columbia","Canada","V2M1P1"
15762,59,"GarrettStewart","M","1979-11-05","30000.00","2022-06-25","Oak Bay","British Columbia","Canada","V8P"
15763,644,"XavierYoung","M","1980-01-22","60000.00","2021-09-08","Walla Walla","Washington","United States","99362"
15764,40,"LouisGuo","M","1964-12-12","120000.00","2021-12-07","Warrnambool","Victoria","Australia","3280"
15765,32,"GilbertDeng","M","1965-04-16","130000.00","2021-12-22","Bendigo","Victoria","Australia","3550"
15766,36,"PriscillaBlack","F","1965-02-12","160000.00","2022-01-29","Melton","Victoria","Australia","3337"
15767,37,"GeorgePrasad","M","1970-05-20","160000.00","2021-12-21","Seaford","Victoria","Australia","3198"
15768,334,"VictoriaWalker","F","1972-05-25","130000.00","2021-10-05","Lakewood","California","United States","90712"
15769,335,"KellyColeman","F","1971-11-06","130000.00","2021-10-05","Lemon Grove","California","United States","91945"
15770,372,"XavierBrooks","M","1983-04-06","150000.00","2021-10-12","Spring Valley","California","United States","91977"
15771,543,"MariaDiaz","F","1963-07-23","130000.00","2021-10-23","Lebanon","Oregon","United States","97355"
15772,361,"ChristopherAnderson","M","1968-03-09","70000.00","2022-07-19","San Gabriel","California","United States","91776"
15773,336,"DylanJenkins","M","1963-04-02","70000.00","2022-07-27","Lincoln Acres","California","United States","91950"
